Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,0,0,0,0,0
3,1,1,0,0,0
4,1,1,1,1,1
5,1,1,1,1,1
6,1,0,0,0,0
7,1,1,1,1,0
8,1,1,1,1,1
9,1,1,1,1,1
10,1,0,0,0,0
11,1,1,1,1,1
12,1,1,1,1,1
13,1,0,0,0,0
14,0,0,0,0,0
15,1,1,1,1,1
16,0,0,0,0,0
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,1,1,1,1
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,1,1,0
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,1,1,1
33,1,1,0,0,0
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,0,0
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,0,0,0,0,0
41,1,1,0,0,0
42,1,0,0,0,0
43,1,1,0,0,0
44,1,1,1,1,1
45,1,1,1,1,1
46,1,1,1,1,1
47,1,1,1,1,1
48,0,0,0,0,0
49,1,1,1,1,1
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,0,0,0,0,0
55,0,0,0,0,0
56,1,1,1,1,1
57,1,1,1,1,1
58,0,0,0,0,0
59,1,1,1,1,1
60,0,0,0,0,0
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,1,1,1,0,0
66,1,0,0,0,0
67,1,1,1,1,1
68,1,1,1,1,0
69,1,1,1,1,1
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,1,1,1,1,1
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,1,0
78,1,1,1,1,1
79,0,0,0,0,0
80,1,1,1,1,1
81,1,1,1,1,0
82,1,1,1,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,0,0,0,0,0
86,1,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,1,1,1,1,1
90,1,1,1,0,0
91,1,1,1,1,0
92,1,0,0,0,0
93,0,0,0,0,0
94,1,1,1,1,0
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,1
98,1,0,0,0,0
99,1,1,1,1,1
100,1,1,1,1,1
101,1,1,1,1,1
102,1,1,0,0,0
103,1,1,0,0,0
104,0,0,0,0,0
105,1,1,1,0,0
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,0,0,0,0,0
110,1,1,0,0,0
111,0,0,0,0,0
112,1,1,1,1,0
113,1,1,1,1,1
114,1,1,1,1,1
115,1,1,1,1,1
116,1,1,1,1,1
117,1,1,1,1,1
118,1,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,1,1,1,1,1
122,1,1,0,0,0
123,1,1,0,0,0
124,1,1,1,1,1
125,0,0,0,0,0
126,1,1,1,1,1
127,0,0,0,0,0
128,1,1,1,1,1
129,1,1,0,0,0
130,1,1,1,1,1
131,1,1,1,1,1
132,1,1,1,1,1
133,1,1,1,1,1
134,1,1,1,1,1
135,1,1,1,1,1
136,1,1,0,0,0
137,1,1,0,0,0
138,1,1,1,1,1
139,1,1,1,1,1
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,1,1,1,1,1
144,1,1,1,1,1
145,1,1,1,1,1
146,1,1,1,1,1
147,1,1,1,1,1
148,1,1,1,1,1
149,1,1,1,0,0
150,1,1,1,0,0
151,1,1,1,1,1
152,1,1,1,1,1
153,1,0,0,0,0
154,1,1,1,1,1
155,1,1,1,1,1
156,0,0,0,0,0
157,1,1,0,0,0
158,1,1,1,1,1
159,1,1,1,1,1
160,1,1,1,1,1
161,1,1,1,1,1
162,1,1,1,1,1
163,1,1,1,1,1
164,1,1,1,1,1
165,1,1,1,1,1
166,0,0,0,0,0
167,1,1,0,0,0
168,1,1,1,1,1
169,0,0,0,0,0
170,1,1,1,0,0
171,1,1,1,1,1
172,1,1,1,1,1
173,0,0,0,0,0
174,1,1,1,1,1
175,1,1,1,0,0
176,1,1,1,1,1
177,1,0,0,0,0
178,1,1,1,1,1
179,1,1,1,1,1
180,1,0,0,0,0
181,1,1,1,1,1
182,1,1,1,1,1
183,1,1,1,1,1
184,1,0,0,0,0
185,1,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,0,0,0,0,0
189,1,0,0,0,0
190,0,0,0,0,0
191,1,1,1,1,1
192,0,0,0,0,0
193,1,1,1,1,1
194,1,1,1,1,1
195,1,1,1,1,1
196,1,1,1,1,1
197,1,1,1,1,1
198,1,1,1,1,1
199,1,1,1,1,1
200,1,1,1,1,1
