QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,0,1,0,1,3
2,0,0,0,0,0,0,0
3,1,0,1,1,1,1,2
4,1,0,1,1,1,1,2
5,1,0,0,0,0,1,1
6,1,1,0,1,1,2,2
7,1,1,1,1,1,5,0
8,1,0,0,1,1,1,2
9,1,1,1,0,0,3,1
10,1,0,1,1,1,1,2
11,0,0,1,1,1,0,1
12,1,0,0,0,0,1,1
13,1,0,0,0,0,1,1
14,1,0,0,0,0,1,1
15,1,1,1,1,1,5,0
16,0,0,0,0,0,0,0
17,1,0,1,1,1,1,2
18,1,0,0,0,0,1,1
19,1,0,0,0,0,1,1
20,1,0,1,0,0,1,3
21,0,0,0,0,0,0,0
22,1,0,0,0,0,1,1
23,1,0,0,1,0,1,3
24,1,0,0,0,0,1,1
25,0,1,1,1,1,0,1
26,1,0,0,0,1,1,2
27,1,0,0,0,0,1,1
28,1,0,0,0,0,1,1
29,1,0,0,1,1,1,2
30,1,0,0,0,0,1,1
31,1,0,0,0,0,1,1
32,1,0,0,0,0,1,1
33,1,0,0,0,0,1,1
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,1,0,0,0,1,1,2
37,1,0,0,0,0,1,1
38,1,0,1,0,1,1,4
39,0,0,1,0,1,0,3
40,1,0,0,0,0,1,1
41,1,0,0,0,0,1,1
42,1,0,1,1,1,1,2
43,1,1,1,0,0,3,1
44,1,1,1,1,1,5,0
45,1,0,1,1,1,1,2
46,1,0,0,0,0,1,1
47,1,0,1,0,1,1,4
48,1,0,0,0,0,1,1
49,1,1,1,1,1,5,0
50,1,0,1,1,0,1,3
51,1,1,1,1,1,5,0
52,1,0,1,1,1,1,2
53,1,0,0,0,0,1,1
54,1,0,0,0,0,1,1
55,1,0,1,1,1,1,2
56,1,0,0,0,0,1,1
57,1,0,1,0,1,1,4
58,0,0,0,0,0,0,0
59,1,0,0,0,0,1,1
60,1,0,0,0,0,1,1
61,1,0,1,1,1,1,2
62,1,1,1,1,0,4,1
63,1,0,0,1,1,1,2
64,0,0,0,0,0,0,0
65,1,0,1,1,1,1,2
66,1,0,0,0,0,1,1
67,1,0,0,1,0,1,3
68,1,0,0,0,0,1,1
69,1,0,0,1,1,1,2
70,1,0,1,0,0,1,3
71,0,1,0,0,0,0,2
72,1,1,1,1,1,5,0
73,0,0,0,0,0,0,0
74,0,0,1,1,1,0,1
75,1,0,1,0,0,1,3
76,1,1,1,1,1,5,0
77,1,0,0,0,0,1,1
78,1,0,1,1,1,1,2
79,1,0,0,0,0,1,1
80,0,0,0,0,0,0,0
81,1,0,1,1,1,1,2
82,0,0,0,0,0,0,0
83,1,0,0,1,1,1,2
84,1,0,0,0,0,1,1
85,1,1,0,1,0,2,3
86,0,0,0,0,0,0,0
87,1,1,1,1,1,5,0
88,1,1,1,1,1,5,0
89,1,0,0,0,0,1,1
90,1,0,0,0,0,1,1
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,1,0,0,0,1,1,2
94,1,0,1,1,0,1,3
95,0,1,1,0,0,0,2
96,0,0,0,1,1,0,1
97,1,0,1,1,1,1,2
98,1,0,0,0,0,1,1
99,1,0,0,0,0,1,1
100,1,0,0,0,0,1,1
