QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,0,0,0,1,1
2,1,0,0,0,0,1,1
3,1,1,1,1,1,5,0
4,1,0,0,0,0,1,1
5,1,0,0,0,1,1,2
6,0,0,0,0,0,0,0
7,1,1,1,1,1,5,0
8,1,1,1,1,1,5,0
9,1,0,0,0,1,1,2
10,1,0,0,0,0,1,1
11,1,0,0,0,0,1,1
12,0,0,0,0,0,0,0
13,1,1,1,1,1,5,0
14,0,0,0,0,0,0,0
15,1,0,0,0,0,1,1
16,1,0,0,0,0,1,1
17,1,0,0,1,1,1,2
18,1,0,0,0,0,1,1
19,1,0,0,0,0,1,1
20,1,0,0,0,1,1,2
21,0,0,0,0,0,0,0
22,0,0,1,0,1,0,3
23,0,0,0,0,1,0,1
24,1,0,0,0,0,1,1
25,0,0,0,0,0,0,0
26,1,0,0,0,0,1,1
27,0,1,0,0,0,0,2
28,1,0,0,0,1,1,2
29,1,0,0,1,1,1,2
30,0,1,1,1,1,0,1
31,1,0,0,0,0,1,1
32,1,0,0,0,0,1,1
33,1,0,0,0,0,1,1
34,1,0,0,0,0,1,1
35,0,1,1,0,0,0,2
36,1,0,0,0,0,1,1
37,1,1,1,1,1,5,0
38,1,0,1,1,0,1,3
39,1,0,0,0,0,1,1
40,1,0,1,1,0,1,3
41,1,1,1,1,1,5,0
42,0,0,0,0,0,0,0
43,1,1,1,1,1,5,0
44,1,0,0,0,0,1,1
45,1,0,0,0,0,1,1
46,0,0,0,0,0,0,0
47,1,0,1,0,1,1,4
48,1,0,1,1,0,1,3
49,1,1,1,1,1,5,0
50,1,1,1,1,1,5,0
51,1,0,0,0,1,1,2
52,1,0,1,1,1,1,2
53,1,0,0,1,1,1,2
54,1,0,0,0,0,1,1
55,1,1,1,1,1,5,0
56,1,0,1,0,1,1,4
57,1,0,1,1,1,1,2
58,1,0,0,0,0,1,1
59,1,0,0,0,0,1,1
60,1,0,0,0,0,1,1
61,1,0,0,0,0,1,1
62,0,0,0,0,0,0,0
63,1,1,0,0,1,2,2
64,0,0,0,0,0,0,0
65,1,0,0,0,0,1,1
66,1,1,1,1,1,5,0
67,1,0,0,1,1,1,2
68,1,1,1,1,1,5,0
69,1,0,0,0,0,1,1
70,1,0,1,1,0,1,3
71,1,1,1,1,1,5,0
72,1,0,0,0,0,1,1
73,1,0,1,1,1,1,2
74,1,1,1,1,1,5,0
75,1,0,0,1,0,1,3
76,1,0,0,1,1,1,2
77,0,0,1,0,1,0,3
78,0,0,0,0,0,0,0
79,1,0,1,1,1,1,2
80,1,0,0,0,0,1,1
81,0,1,1,1,1,0,1
82,0,0,0,0,0,0,0
83,1,0,1,0,0,1,3
84,0,0,0,0,0,0,0
85,1,1,1,1,1,5,0
86,0,0,0,0,0,0,0
87,1,0,0,0,0,1,1
88,0,0,0,1,1,0,1
89,1,0,0,0,0,1,1
90,0,0,0,0,0,0,0
91,1,0,0,0,0,1,1
92,1,0,0,0,0,1,1
93,1,0,0,0,0,1,1
94,0,0,0,0,0,0,0
95,0,0,0,1,1,0,1
96,1,0,1,1,0,1,3
97,1,0,0,0,0,1,1
98,0,0,0,0,0,0,0
99,1,0,1,0,0,1,3
100,0,1,1,1,1,0,1
