QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,0,0,0,1,1
2,1,0,0,0,0,1,1
3,1,0,0,1,0,1,3
4,1,0,0,0,0,1,1
5,1,0,0,0,0,1,1
6,0,0,0,0,0,0,0
7,1,0,0,0,1,1,2
8,1,1,1,1,1,5,0
9,1,0,0,0,0,1,1
10,1,0,0,0,1,1,2
11,1,0,0,0,0,1,1
12,1,0,0,0,0,1,1
13,1,0,0,1,1,1,2
14,1,0,0,0,0,1,1
15,1,1,1,1,1,5,0
16,0,0,0,1,0,0,2
17,1,0,1,0,1,1,4
18,1,0,0,0,1,1,2
19,1,0,1,1,1,1,2
20,1,1,1,1,1,5,0
21,1,0,1,0,0,1,3
22,1,0,0,1,1,1,2
23,1,0,0,0,0,1,1
24,1,0,0,0,0,1,1
25,1,0,0,0,0,1,1
26,1,0,0,0,0,1,1
27,1,0,0,0,0,1,1
28,1,0,0,0,0,1,1
29,1,0,0,0,0,1,1
30,1,1,1,1,1,5,0
31,1,0,0,0,0,1,1
32,1,1,1,1,1,5,0
33,1,0,0,0,0,1,1
34,0,0,0,0,0,0,0
35,1,1,1,1,1,5,0
36,0,0,0,0,0,0,0
37,1,0,0,0,0,1,1
38,1,0,1,0,0,1,3
39,1,0,0,0,0,1,1
40,1,0,0,0,0,1,1
41,1,1,1,1,1,5,0
42,0,0,0,0,0,0,0
43,1,0,1,1,1,1,2
44,1,0,0,0,1,1,2
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,1,0,0,1,1,1,2
48,1,1,1,1,0,4,1
49,1,0,0,0,0,1,1
50,1,1,0,1,1,2,2
51,1,0,0,0,0,1,1
52,1,0,0,0,1,1,2
53,1,0,0,0,0,1,1
54,1,0,0,0,0,1,1
55,1,1,1,1,1,5,0
56,1,1,1,1,1,5,0
57,1,0,0,0,0,1,1
58,1,1,1,1,1,5,0
59,1,0,1,0,0,1,3
60,1,0,0,0,0,1,1
61,1,1,0,0,0,2,1
62,0,0,0,0,0,0,0
63,1,0,0,1,1,1,2
64,0,0,0,0,0,0,0
65,1,0,0,1,1,1,2
66,1,0,1,1,1,1,2
67,1,0,0,1,0,1,3
68,1,0,0,0,0,1,1
69,1,0,0,0,0,1,1
70,1,0,0,0,0,1,1
71,1,0,0,0,0,1,1
72,1,0,0,1,1,1,2
73,1,0,0,0,1,1,2
74,1,0,0,0,1,1,2
75,1,1,1,1,1,5,0
76,1,0,1,0,0,1,3
77,1,0,1,1,0,1,3
78,1,0,0,1,1,1,2
79,1,0,0,0,0,1,1
80,0,0,0,0,0,0,0
81,1,0,0,1,1,1,2
82,0,0,0,0,0,0,0
83,1,0,0,0,0,1,1
84,1,0,0,0,0,1,1
85,1,1,1,1,1,5,0
86,0,0,0,0,0,0,0
87,1,0,0,0,0,1,1
88,1,0,0,0,0,1,1
89,1,0,1,1,1,1,2
90,1,0,0,0,0,1,1
91,1,0,0,0,0,1,1
92,1,0,0,0,0,1,1
93,1,0,0,0,0,1,1
94,1,0,0,0,0,1,1
95,1,0,0,1,0,1,3
96,1,0,1,1,1,1,2
97,1,0,0,0,0,1,1
98,1,0,0,0,0,1,1
99,1,0,0,0,0,1,1
100,1,0,0,1,1,1,2
