QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,0,0,0,1,1
2,1,0,0,0,0,1,1
3,1,0,0,0,0,1,1
4,1,0,0,0,0,1,1
5,1,1,1,1,1,5,0
6,0,0,0,0,0,0,0
7,1,0,0,0,0,1,1
8,1,0,0,1,0,1,3
9,1,0,0,0,0,1,1
10,1,0,1,1,1,1,2
11,1,0,0,0,1,1,2
12,1,0,0,0,0,1,1
13,1,0,0,0,0,1,1
14,1,0,1,1,0,1,3
15,1,0,0,1,0,1,3
16,1,0,0,0,0,1,1
17,1,0,1,1,1,1,2
18,1,1,0,0,1,2,2
19,1,0,1,1,1,1,2
20,1,0,0,0,1,1,2
21,0,1,0,1,1,0,3
22,1,0,0,0,0,1,1
23,1,0,0,0,0,1,1
24,1,0,0,0,0,1,1
25,1,0,0,0,0,1,1
26,1,0,0,1,0,1,3
27,1,1,0,1,1,2,2
28,1,0,1,0,0,1,3
29,1,0,0,0,0,1,1
30,1,1,1,1,1,5,0
31,1,0,0,0,1,1,2
32,1,0,1,1,1,1,2
33,1,0,0,0,0,1,1
34,0,0,0,0,0,0,0
35,1,0,1,1,1,1,2
36,1,0,0,0,1,1,2
37,1,0,0,0,0,1,1
38,1,1,1,1,1,5,0
39,1,0,0,0,0,1,1
40,1,1,0,1,1,2,2
41,1,0,1,1,1,1,2
42,1,0,0,0,0,1,1
43,1,1,1,1,1,5,0
44,1,1,1,1,1,5,0
45,1,0,0,0,0,1,1
46,1,0,0,0,0,1,1
47,1,0,0,0,0,1,1
48,1,0,0,0,0,1,1
49,1,0,1,1,1,1,2
50,1,1,1,1,1,5,0
51,1,0,0,0,1,1,2
52,1,0,0,1,0,1,3
53,1,0,0,1,1,1,2
54,1,0,0,0,0,1,1
55,1,0,1,1,1,1,2
56,1,0,0,1,0,1,3
57,1,0,1,1,1,1,2
58,1,0,0,0,0,1,1
59,0,0,0,0,0,0,0
60,1,0,0,0,0,1,1
61,1,0,0,0,0,1,1
62,1,0,0,0,0,1,1
63,1,0,0,0,0,1,1
64,1,0,0,0,0,1,1
65,1,1,1,1,1,5,0
66,1,1,0,0,0,2,1
67,1,0,0,1,1,1,2
68,1,0,0,1,0,1,3
69,1,0,1,1,1,1,2
70,1,0,0,0,0,1,1
71,1,0,0,0,0,1,1
72,1,0,0,1,1,1,2
73,1,1,1,1,1,5,0
74,1,0,1,1,1,1,2
75,1,0,0,0,0,1,1
76,1,0,1,1,1,1,2
77,1,0,0,0,0,1,1
78,1,0,0,0,0,1,1
79,1,0,1,1,1,1,2
80,0,0,0,0,0,0,0
81,1,0,0,0,0,1,1
82,1,0,0,0,0,1,1
83,1,0,0,0,0,1,1
84,1,0,0,0,1,1,2
85,1,0,1,1,1,1,2
86,0,0,0,0,0,0,0
87,0,1,0,0,0,0,2
88,1,1,1,1,1,5,0
89,1,1,1,1,1,5,0
90,1,0,0,0,0,1,1
91,1,0,0,0,0,1,1
92,1,0,1,1,1,1,2
93,1,0,1,1,1,1,2
94,1,0,0,0,0,1,1
95,1,1,1,1,1,5,0
96,1,0,0,0,0,1,1
97,1,0,0,0,0,1,1
98,1,0,0,0,0,1,1
99,1,0,0,0,0,1,1
100,1,1,1,1,1,5,0
