QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,0,1,0,1,1,4
2,1,0,0,0,0,1,1
3,1,0,0,1,1,1,2
4,1,0,0,0,0,1,1
5,1,0,0,0,0,1,1
6,1,0,1,1,1,1,2
7,1,0,0,0,0,1,1
8,0,0,1,1,1,0,1
9,1,0,0,1,0,1,3
10,1,0,1,1,0,1,3
11,1,0,0,0,0,1,1
12,1,0,0,0,0,1,1
13,1,0,0,0,0,1,1
14,1,0,0,0,0,1,1
15,1,0,0,1,1,1,2
16,1,0,0,0,0,1,1
17,1,0,1,1,0,1,3
18,1,0,1,0,1,1,4
19,1,0,0,1,0,1,3
20,1,0,1,1,0,1,3
21,1,0,0,0,0,1,1
22,1,0,0,0,0,1,1
23,1,0,0,1,0,1,3
24,1,0,1,1,1,1,2
25,1,0,0,0,0,1,1
26,1,0,0,1,1,1,2
27,1,0,0,0,0,1,1
28,1,0,1,1,0,1,3
29,1,1,1,1,1,5,0
30,1,0,0,1,1,1,2
31,1,0,0,1,0,1,3
32,1,0,0,0,0,1,1
33,1,0,0,0,0,1,1
34,1,0,0,1,0,1,3
35,1,0,0,0,0,1,1
36,1,0,0,0,0,1,1
37,1,0,1,1,0,1,3
38,1,0,1,1,0,1,3
39,1,0,0,0,0,1,1
40,1,0,0,1,0,1,3
41,1,1,0,1,1,2,2
42,1,0,0,0,0,1,1
43,1,1,1,1,1,5,0
44,1,0,1,0,0,1,3
45,1,0,1,0,0,1,3
46,1,0,0,0,0,1,1
47,1,0,0,0,1,1,2
48,1,0,0,0,0,1,1
49,1,0,1,1,1,1,2
50,1,0,0,0,1,1,2
51,1,0,0,1,0,1,3
52,1,0,1,1,1,1,2
53,1,0,0,0,0,1,1
54,1,0,0,0,0,1,1
55,1,1,1,1,1,5,0
56,1,0,0,0,1,1,2
57,1,0,1,0,0,1,3
58,1,0,0,0,0,1,1
59,1,0,0,0,0,1,1
60,1,0,0,0,0,1,1
61,1,0,0,0,0,1,1
62,1,0,0,0,0,1,1
63,1,0,0,0,0,1,1
64,0,0,0,0,0,0,0
65,1,0,1,0,1,1,4
66,1,1,1,1,1,5,0
67,1,0,1,1,0,1,3
68,1,0,0,0,0,1,1
69,1,0,0,0,0,1,1
70,1,0,0,0,1,1,2
71,1,0,0,0,0,1,1
72,1,0,0,0,0,1,1
73,1,0,0,0,0,1,1
74,1,0,0,0,1,1,2
75,1,0,0,0,1,1,2
76,1,0,1,1,0,1,3
77,1,0,0,0,0,1,1
78,1,0,0,0,0,1,1
79,1,0,0,0,1,1,2
80,1,0,0,0,0,1,1
81,1,0,0,0,0,1,1
82,1,0,0,0,0,1,1
83,1,0,0,0,0,1,1
84,1,0,1,1,1,1,2
85,1,0,1,1,1,1,2
86,1,0,0,0,0,1,1
87,1,0,0,0,0,1,1
88,1,0,0,0,0,1,1
89,1,1,1,1,1,5,0
90,1,1,0,0,0,2,1
91,1,0,0,0,0,1,1
92,1,0,0,0,0,1,1
93,1,1,1,1,1,5,0
94,1,0,0,0,0,1,1
95,1,0,0,0,0,1,1
96,1,0,1,1,1,1,2
97,1,0,0,0,0,1,1
98,1,0,0,0,1,1,2
99,1,0,0,0,0,1,1
100,1,0,1,0,1,1,4
