QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,1,1,1,1,5,0
2,1,0,1,0,0,1,3
3,1,0,0,1,1,1,2
4,1,0,0,0,0,1,1
5,1,0,0,0,0,1,1
6,1,0,0,0,0,1,1
7,1,0,1,1,0,1,3
8,1,0,0,0,0,1,1
9,1,1,0,1,1,2,2
10,1,0,0,0,0,1,1
11,1,0,1,1,1,1,2
12,0,0,0,0,0,0,0
13,1,0,0,0,1,1,2
14,1,0,1,0,0,1,3
15,1,0,0,0,0,1,1
16,0,0,0,0,0,0,0
17,1,1,1,1,1,5,0
18,1,0,0,0,0,1,1
19,1,0,1,1,1,1,2
20,1,1,1,1,1,5,0
21,0,0,0,0,0,0,0
22,1,0,0,1,1,1,2
23,1,0,0,0,0,1,1
24,1,0,0,0,0,1,1
25,1,0,0,0,0,1,1
26,1,0,0,0,0,1,1
27,1,0,0,0,1,1,2
28,1,1,0,1,1,2,2
29,1,0,0,0,0,1,1
30,1,1,0,1,1,2,2
31,1,0,0,0,0,1,1
32,1,0,0,0,0,1,1
33,1,0,0,0,0,1,1
34,1,0,0,0,0,1,1
35,1,0,0,0,0,1,1
36,1,0,0,0,0,1,1
37,1,0,1,0,0,1,3
38,1,0,1,1,1,1,2
39,1,0,0,0,0,1,1
40,1,0,0,0,0,1,1
41,1,1,1,1,1,5,0
42,1,0,0,0,0,1,1
43,1,1,0,0,1,2,2
44,1,0,0,0,0,1,1
45,1,0,0,0,0,1,1
46,1,0,0,0,0,1,1
47,1,0,0,0,0,1,1
48,1,0,1,1,1,1,2
49,1,0,1,1,1,1,2
50,1,1,1,1,1,5,0
51,1,0,1,1,1,1,2
52,1,1,1,1,1,5,0
53,1,0,0,0,0,1,1
54,1,1,1,1,1,5,0
55,1,1,1,1,1,5,0
56,1,0,0,0,0,1,1
57,1,0,0,0,0,1,1
58,1,0,0,0,0,1,1
59,1,0,0,0,0,1,1
60,1,0,0,1,0,1,3
61,1,0,0,0,0,1,1
62,1,0,0,0,0,1,1
63,1,1,1,1,1,5,0
64,1,0,0,0,0,1,1
65,1,1,1,1,1,5,0
66,1,0,1,0,0,1,3
67,1,0,0,0,1,1,2
68,1,0,1,0,0,1,3
69,1,0,0,0,0,1,1
70,1,0,0,0,0,1,1
71,1,0,0,0,0,1,1
72,1,0,0,0,0,1,1
73,1,0,0,0,0,1,1
74,1,0,0,1,1,1,2
75,1,0,0,0,0,1,1
76,1,0,1,0,0,1,3
77,1,0,1,0,0,1,3
78,1,1,1,1,1,5,0
79,1,0,0,0,1,1,2
80,1,0,0,0,1,1,2
81,1,0,0,0,0,1,1
82,1,0,0,0,0,1,1
83,1,0,1,1,1,1,2
84,1,0,0,0,0,1,1
85,1,1,0,1,1,2,2
86,1,0,0,0,0,1,1
87,1,0,0,0,0,1,1
88,1,0,0,0,0,1,1
89,1,0,1,1,1,1,2
90,0,1,0,0,0,0,2
91,1,0,0,0,0,1,1
92,1,0,0,0,0,1,1
93,1,0,0,0,0,1,1
94,1,0,0,1,0,1,3
95,1,0,0,1,1,1,2
96,1,0,0,0,1,1,2
97,1,0,0,0,0,1,1
98,1,0,0,0,0,1,1
99,1,0,1,1,1,1,2
100,1,0,1,1,1,1,2
