Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,1,1,0,0,0
3,1,1,1,1,1
4,1,1,1,0,0
5,1,1,1,0,0
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,0,0
10,0,0,0,0,0
11,1,1,1,0,0
12,1,1,1,1,1
13,1,1,1,1,1
14,1,1,1,1,1
15,1,1,1,0,0
16,1,1,1,1,1
17,0,0,0,0,0
18,1,1,1,1,1
19,1,1,1,1,1
20,0,0,0,0,0
21,1,1,1,0,0
22,1,1,1,1,1
23,0,0,0,0,0
24,0,0,0,0,0
25,1,1,1,0,0
26,1,1,1,1,1
27,1,1,0,0,0
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,0,0
32,1,1,1,1,1
33,1,1,1,0,0
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,0,0,0,0,0
41,1,1,1,1,1
42,0,0,0,0,0
43,1,1,1,1,1
44,1,1,1,0,0
45,0,0,0,0,0
46,1,1,0,0,0
47,1,1,1,1,1
48,1,0,0,0,0
49,1,1,1,1,1
50,1,1,1,1,1
51,1,1,1,0,0
52,1,1,1,0,0
53,1,1,1,1,1
54,1,1,1,1,1
55,1,1,1,1,0
56,1,1,1,1,1
57,0,0,0,0,0
58,1,1,1,0,0
59,1,1,1,1,1
60,0,0,0,0,0
61,0,0,0,0,0
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,1,1,1,1,1
66,1,1,1,1,1
67,1,1,1,1,1
68,1,1,0,0,0
69,1,1,0,0,0
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,1,1,1,1,1
74,0,0,0,0,0
75,1,1,1,1,1
76,1,1,0,0,0
77,1,1,1,1,1
78,1,1,1,0,0
79,0,0,0,0,0
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,1,0
83,1,1,1,1,1
84,0,0,0,0,0
85,1,1,1,0,0
86,1,1,1,1,1
87,1,1,1,1,1
88,0,0,0,0,0
89,1,1,1,1,1
90,0,0,0,0,0
91,1,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,1,1,1,1,1
95,1,1,1,0,0
96,0,0,0,0,0
97,1,1,0,0,0
98,1,1,1,1,1
99,1,0,0,0,0
100,1,1,1,1,0
101,1,1,1,1,1
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,1,1,1,1,0
106,0,0,0,0,0
107,1,1,1,1,1
108,0,0,0,0,0
109,1,1,1,0,0
110,1,1,1,1,1
111,0,0,0,0,0
112,0,0,0,0,0
113,1,1,1,1,1
114,1,1,0,0,0
115,1,1,1,1,0
116,1,1,1,1,1
117,1,1,1,1,1
118,1,1,1,1,1
119,0,0,0,0,0
120,0,0,0,0,0
121,1,1,1,1,1
122,0,0,0,0,0
123,1,1,1,0,0
124,1,1,1,1,1
125,1,1,1,1,1
126,0,0,0,0,0
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,1,1,1
130,1,1,1,0,0
131,1,1,1,1,1
132,1,1,1,0,0
133,1,1,1,1,1
134,0,0,0,0,0
135,1,1,1,1,1
136,1,1,1,0,0
137,1,1,1,1,1
138,0,0,0,0,0
139,1,1,1,1,1
140,1,1,1,1,1
141,1,1,0,0,0
142,1,1,1,1,1
143,0,0,0,0,0
144,1,1,1,1,1
145,0,0,0,0,0
146,1,1,1,1,1
147,1,1,1,1,1
148,0,0,0,0,0
149,0,0,0,0,0
150,1,1,1,0,0
151,1,1,1,1,1
152,1,1,1,1,1
153,1,1,0,0,0
154,1,1,1,1,1
155,0,0,0,0,0
156,1,1,1,1,1
157,1,1,0,0,0
158,1,0,0,0,0
159,1,1,1,1,1
160,1,1,1,0,0
161,0,0,0,0,0
162,1,1,1,0,0
163,1,1,0,0,0
164,1,1,1,1,1
165,1,1,1,1,1
166,0,0,0,0,0
167,0,0,0,0,0
168,1,1,1,1,1
169,0,0,0,0,0
170,1,1,1,1,1
171,1,1,0,0,0
172,1,1,1,0,0
173,0,0,0,0,0
174,1,1,0,0,0
175,1,1,1,1,1
176,1,1,1,0,0
177,1,1,1,1,1
178,1,1,1,1,1
179,1,0,0,0,0
180,1,1,1,1,1
181,1,1,1,1,1
182,1,1,1,0,0
183,1,1,1,1,1
184,1,0,0,0,0
185,0,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,1,0,0
189,1,1,1,1,0
190,1,1,1,1,1
191,1,1,0,0,0
192,1,1,0,0,0
193,1,1,1,1,1
194,1,1,1,1,1
195,1,1,1,1,1
196,0,0,0,0,0
197,1,1,1,1,1
198,1,1,1,1,1
199,1,1,1,0,0
200,0,0,0,0,0
