Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,0,0,0,0,0
2,0,0,0,0,0
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,0,0
8,0,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,1,1,1,1,1
12,1,0,0,0,0
13,1,1,1,0,0
14,1,1,1,1,1
15,0,0,0,0,0
16,1,1,0,0,0
17,1,1,1,1,1
18,1,1,1,1,1
19,1,1,1,1,1
20,1,1,1,1,1
21,1,0,0,0,0
22,0,0,0,0,0
23,1,1,0,0,0
24,0,0,0,0,0
25,1,1,1,1,0
26,1,0,0,0,0
27,1,0,0,0,0
28,1,1,1,1,1
29,0,0,0,0,0
30,1,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,1,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,1,1,1,1,1
37,1,1,1,1,1
38,1,0,0,0,0
39,1,1,1,1,1
40,0,0,0,0,0
41,1,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,1,1,1,1,1
45,1,1,1,1,1
46,1,1,1,1,1
47,1,1,1,1,1
48,1,1,1,1,1
49,1,1,1,1,1
50,1,1,1,0,0
51,1,0,0,0,0
52,1,1,1,0,0
53,1,1,0,0,0
54,1,1,1,1,1
55,1,1,1,1,1
56,1,1,1,1,1
57,1,1,0,0,0
58,1,0,0,0,0
59,1,1,1,1,1
60,0,0,0,0,0
61,0,0,0,0,0
62,1,1,0,0,0
63,0,0,0,0,0
64,1,1,1,1,1
65,0,0,0,0,0
66,1,0,0,0,0
67,1,1,1,1,1
68,1,0,0,0,0
69,1,0,0,0,0
70,1,1,1,1,1
71,0,0,0,0,0
72,1,0,0,0,0
73,0,0,0,0,0
74,1,1,1,1,1
75,1,1,0,0,0
76,0,0,0,0,0
77,1,1,1,1,1
78,1,1,1,1,1
79,1,0,0,0,0
80,0,0,0,0,0
81,1,1,1,1,1
82,1,1,0,0,0
83,1,1,1,1,0
84,0,0,0,0,0
85,1,1,1,1,1
86,0,0,0,0,0
87,0,0,0,0,0
88,1,1,1,0,0
89,1,1,1,1,1
90,0,0,0,0,0
91,1,1,1,1,1
92,0,0,0,0,0
93,1,0,0,0,0
94,1,1,1,0,0
95,1,1,0,0,0
96,1,1,1,1,1
97,1,1,1,1,1
98,1,1,1,1,1
99,1,1,1,1,1
100,1,0,0,0,0
101,0,0,0,0,0
102,1,1,1,1,1
103,0,0,0,0,0
104,0,0,0,0,0
105,1,0,0,0,0
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,1,1,1,0,0
113,1,1,1,1,1
114,1,1,1,1,1
115,1,0,0,0,0
116,1,1,1,0,0
117,1,1,0,0,0
118,1,1,1,0,0
119,1,1,1,0,0
120,1,1,1,1,1
121,1,1,1,0,0
122,1,1,1,0,0
123,1,0,0,0,0
124,1,1,1,1,1
125,1,1,1,1,1
126,1,1,1,1,1
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,0,0,0
130,1,1,1,1,1
131,1,1,1,1,1
132,1,1,1,1,1
133,1,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,1,1,1,1,0
137,1,1,1,1,1
138,1,1,1,1,1
139,1,1,1,1,1
140,1,1,0,0,0
141,0,0,0,0,0
142,1,1,1,1,1
143,1,1,1,1,1
144,1,1,1,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,1,1,1,1,1
150,1,1,1,1,1
151,1,1,1,1,1
152,1,1,1,1,1
153,0,0,0,0,0
154,1,0,0,0,0
155,1,1,1,1,0
156,1,1,1,1,1
157,1,1,0,0,0
158,1,1,1,1,1
159,0,0,0,0,0
160,1,0,0,0,0
161,1,1,1,1,1
162,1,1,1,1,1
163,1,1,1,1,1
164,1,1,1,1,1
165,1,1,1,1,0
166,1,0,0,0,0
167,0,0,0,0,0
168,1,1,1,1,1
169,1,0,0,0,0
170,1,1,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,1,1,1,1,1
174,0,0,0,0,0
175,1,1,1,1,1
176,0,0,0,0,0
177,1,1,1,1,1
178,0,0,0,0,0
179,0,0,0,0,0
180,1,1,0,0,0
181,1,1,1,1,1
182,1,1,1,1,1
183,1,1,1,1,1
184,1,1,1,1,1
185,1,0,0,0,0
186,1,1,1,0,0
187,1,0,0,0,0
188,0,0,0,0,0
189,1,1,1,1,1
190,1,1,1,1,1
191,1,1,1,1,0
192,1,1,1,1,1
193,1,1,1,1,1
194,1,1,1,1,1
195,1,1,1,1,1
196,1,1,1,1,1
197,1,1,1,1,1
198,1,1,1,1,1
199,1,1,1,1,0
200,0,0,0,0,0
