QuestionID,Response_1,Response_2,Response_3,Response_4,Response_5,ToF,NoF
1,1,1,1,0,0,3,1
2,1,0,1,1,0,1,3
3,1,1,1,1,1,5,0
4,1,1,0,0,0,2,1
5,1,1,1,1,1,5,0
6,1,1,1,1,0,4,1
7,1,0,1,0,0,1,3
8,1,1,1,1,1,5,0
9,1,1,1,1,0,4,1
10,1,0,0,1,1,1,2
11,1,1,1,0,0,3,1
12,1,1,1,1,1,5,0
13,1,0,0,0,0,1,1
14,1,1,1,1,0,4,1
15,1,1,1,1,1,5,0
16,1,1,1,0,1,3,2
17,1,1,1,0,1,3,2
18,1,1,0,0,1,2,2
19,1,1,1,1,1,5,0
20,1,0,1,1,1,1,2
21,1,1,0,0,0,2,1
22,1,1,1,1,1,5,0
23,1,1,1,1,1,5,0
24,1,1,1,1,1,5,0
25,1,1,1,1,1,5,0
26,1,1,1,1,0,4,1
27,1,1,1,0,0,3,1
28,1,1,1,1,1,5,0
29,1,1,1,1,1,5,0
30,1,1,1,1,0,4,1
31,1,1,1,1,1,5,0
32,1,1,1,1,1,5,0
33,1,0,1,1,1,1,2
34,1,1,1,1,1,5,0
35,1,1,1,1,1,5,0
36,1,0,1,1,1,1,2
37,1,1,1,1,1,5,0
38,1,1,0,0,0,2,1
39,1,1,0,0,0,2,1
40,1,1,1,1,0,4,1
41,0,1,1,0,0,0,2
42,1,0,1,1,0,1,3
43,1,1,1,1,0,4,1
44,1,1,1,1,1,5,0
45,1,1,1,1,1,5,0
46,1,0,1,1,0,1,3
47,1,0,0,0,0,1,1
48,1,1,1,1,1,5,0
49,1,1,1,1,1,5,0
50,1,1,0,1,1,2,2
51,1,1,1,1,0,4,1
52,1,1,1,1,1,5,0
53,1,1,1,0,0,3,1
54,1,1,1,0,0,3,1
55,1,1,1,1,1,5,0
56,1,1,1,0,0,3,1
57,1,1,1,1,1,5,0
58,1,1,1,1,1,5,0
59,1,1,1,1,1,5,0
60,1,1,1,1,0,4,1
61,1,1,1,1,1,5,0
62,1,1,1,1,1,5,0
63,1,1,1,1,0,4,1
64,1,1,1,1,1,5,0
65,1,1,1,1,0,4,1
66,1,1,1,1,1,5,0
67,1,1,1,1,0,4,1
68,1,1,0,0,0,2,1
69,1,1,1,1,1,5,0
70,1,1,1,0,1,3,2
71,1,1,1,1,1,5,0
72,1,1,1,1,1,5,0
73,1,1,1,1,1,5,0
74,1,1,1,1,0,4,1
75,1,1,1,1,1,5,0
76,1,1,1,1,1,5,0
77,1,1,1,0,1,3,2
78,1,1,1,1,1,5,0
79,1,1,1,1,1,5,0
80,1,0,0,0,0,1,1
81,1,0,1,1,0,1,3
82,1,1,1,1,1,5,0
83,1,1,1,1,1,5,0
84,1,1,1,1,1,5,0
85,0,0,0,0,0,0,0
86,1,1,1,0,0,3,1
87,1,1,1,1,1,5,0
88,1,1,1,1,1,5,0
89,1,1,1,1,1,5,0
90,1,1,1,1,1,5,0
91,1,1,1,1,1,5,0
92,1,0,0,0,0,1,1
93,1,1,1,1,0,4,1
94,1,1,1,1,1,5,0
95,1,1,1,1,1,5,0
96,1,1,1,1,1,5,0
97,1,1,1,1,1,5,0
98,1,0,1,0,0,1,3
99,1,1,1,1,1,5,0
100,1,1,1,1,1,5,0
